Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.0508045712459883,0.0733744230465092,0.10983051663196,0,0,0,0.358050767521976,0.000133063405309512,-2.20908225793519E-06,1.19458427860909E-07,0.00042112354698649,1.55271419219944E-07,0.000336569675200211,0,0,0,0,0,0,package://etroll/meshes/base_link.STL,1,1,1,0.85,0,0,0,0,0,0,package://etroll/meshes/base_link.STL,,"XM,H-430_idler.stp-1/DC12_A01_SPACER_RING_1.stp-7;XM,H-430_idler.stp-1/DC12_A01_SPACER_RING_1.stp-8;XM,H-430_idler.stp-1/DC12_A01_SPACER_RING_1.stp-5;XM,H-430_idler.stp-1/DC12_A01_SPACER_RING_1.stp-4;XM,H-430_idler.stp-1/DC12_A01_SPACER_RING_1.stp-6;XM,H-430_idler.stp-1/WBH_M2_5X12.stp-5;XM,H-430_idler.stp-1/WBH_M2_5X12.stp-6;XM,H-430_idler.stp-1/DC12_A01_SPACER_RING_1.stp-3;XM,H-430_idler.stp-1/WBH_M2_5X12.stp-3;XM,H-430_idler.stp-1/WBH_M2_5X12.stp-2;XM,H-430_idler.stp-1/WBH_M2_5X12.stp-8;XM,H-430_idler.stp-1/WBH_M2_5X12.stp-7;XM,H-430_idler.stp-1/WBH_M2_5X12.stp-4;XM,H-430_idler.stp-1/WBH_M2_5X12.stp-1;XM,H-430_idler.stp-1/DC12_A01_SPACER_RING_1.stp-2;XM,H-430_idler.stp-1/DC12_A01_SPACER_RING_1.stp-1;dovetail_male-1;Mount_dovetail_female-1;XM,H-430_idler.stp-1/DC12_A01_CVR_CABLE_5.stp-1;XM,H-430_idler.stp-1/DUMMY_DC12.stp-1;Pinion-1;rail-2;Base-1;rail-4;Plate-1",Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
l_0,-0.00796792782565757,0.0242126099523312,-0.0855121197507773,0,0,0,0.129970632845166,9.19510544902433E-05,4.13992519397044E-06,-1.32884650464649E-05,8.98759601961513E-05,6.66243495222166E-06,3.66426901814052E-05,0,0,0,0,0,0,package://etroll/meshes/l_0.STL,1,1,1,0.85,0,0,0,0,0,0,package://etroll/meshes/l_0.STL,,"rail_mount-2;XM,H-430_idler.stp-2/DUMMY_DC12.stp-1;Palm_half-1;XM,H-430_idler.stp-2/DC12_A01_CVR_CABLE_5.stp-1",Origin_l_0,Axis_l_0,l_0,prismatic,0.028412,-0.12477,0.10071,1.5708,0,-1.5708,base_link,0,0,1,0,0,0,0,,,,,,,,
l_1,-0.015500248841829,0.065371722729672,0.00618440453409135,0,0,0,0.0369966210371178,3.6185327694131E-05,4.19331287064406E-10,3.71458603624092E-11,7.57356336470262E-06,-2.54018368615607E-06,3.95316502895547E-05,0,0,0,0,0,0,package://etroll/meshes/l_1.STL,1,1,1,0.85,0,0,0,0,0,0,package://etroll/meshes/l_1.STL,,fr12_h101.stp-1;Finger-1,Origin_l_1,Axis_l_1,l_1,revolute,0,0.04925,-0.0944,0,0,0,l_0,1,0,0,0,0,0,0,,,,,,,,
r_0,-0.017200156837152,0.0282126100566413,0.0309679288666646,0,0,0,0.129970632845174,3.66426905774325E-05,6.66243489053163E-06,1.32884658706237E-05,8.98759601961519E-05,-4.13992529324848E-06,9.1951054094217E-05,0,0,0,0,0,0,package://etroll/meshes/r_0.STL,1,1,1,0.85,0,0,0,0,0,0,package://etroll/meshes/r_0.STL,,"Palm_half-2;XM,H-430_idler.stp-3/DUMMY_DC12.stp-1;XM,H-430_idler.stp-3/DC12_A01_CVR_CABLE_5.stp-1;rail_mount-1",Origin_r_0,Axis_r_0,r_0,prismatic,0,-0.071773,0.096714,1.5708,0,0,base_link,1,0,0,0,0,0,0,,,,,,,,
r_1,-0.020500251807765,0.0653717059190886,0.00618458337447021,0,0,0,0.0369966210371178,3.61853276941321E-05,4.19293334248902E-10,3.71968641658599E-11,7.57357717430988E-06,-2.54027055407165E-06,3.95316364799464E-05,0,0,0,0,0,0,package://etroll/meshes/r_1.STL,1,1,1,0.85,0,0,0,0,0,0,package://etroll/meshes/r_1.STL,,fr12_h101.stp-2;Finger-2,Origin_r_1,Axis_r_1,r_1,revolute,-0.026088,0.05325,0.018,0,1.5708,0,r_0,1,0,0,0,0,0,0,,,,,,,,
