Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.00212247742799092,-0.000190346088314234,0.0260775069783168,0,0,0,0.295146641644412,0.000178243417317915,2.23929548427028E-07,4.6547677481535E-07,0.000187477211048145,1.39877697128628E-09,0.000342638785654023,0,0,0,0,0,0,package://hand_m2/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://hand_m2/meshes/base_link.STL,,block_actuator_m-1/93330A440 8-32 L3-2 standoff-2;block_actuator_m-1/93330A440 8-32 L3-2 standoff-1;block_actuator_m-1/a2_m-1;block_actuator_m-1/a4_t42-1;block_actuator_m-1/a1_t42-1;block_actuator_m-1/98381A477 D1-8 L5-4-1;block_actuator_m-1/93330A440 8-32 L3-2 standoff-3;block_actuator_m-1/98381A477 D1-8 L5-4-2;block_actuator_m-1/93330A440 8-32 L3-2 standoff-4;block_actuator_m-1/92210A197 8-32 L3-4 countersunk-5;block_actuator_m-1/92210A197 8-32 L3-4 countersunk-4;block_actuator_m-1/92210A197 8-32 L3-4 countersunk-3;block_actuator_m-1/92210A197 8-32 L3-4 countersunk-2;block_actuator_m-1/92210A197 8-32 L3-4 countersunk-1;block_actuator_m-1/d1_t42-2;block_actuator_m-1/d1_t42-1;block_actuator_m-1/91290A012 M2 L5 socket-1;block_actuator_m-1/dynamixel XM-430-1;block_actuator_m-1/92210A197 8-32 L3-4 countersunk-6;block_actuator_m-1/b1_xm_m-1;block_actuator_m-1/91290A012 M2 L5 socket-2;block_actuator_m-1/92210A197 8-32 L3-4 countersunk-8;block_actuator_m-1/a3_m-2;block_actuator_m-1/92210A197 8-32 L3-4 countersunk-7;block_actuator_m-1/c1_m-1;block_actuator_m-1/98381A544 D1-4 L5-4-1;block_actuator_m-1/91292A112 M3 L8 socket-4;block_actuator_m-1/91292A112 M3 L8 socket-3;block_actuator_m-1/91292A112 M3 L8 socket-1;block_actuator_m-1/91292A112 M3 L8 socket-2,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
l_0,-1.76461147495905E-05,0.00369264198596364,-0.0280715613687438,0,0,0,0.0209133032925023,7.44762302304462E-06,-6.95412504584306E-10,1.15937578391567E-08,8.96894755720361E-06,-1.48298587310708E-08,2.24744851625388E-06,0,0,0,0,0,0,package://hand_m2/meshes/l_0.STL,1,1,1,1,0,0,0,0,0,0,package://hand_m2/meshes/l_0.STL,,Body2-1;Body1-1,Coordinate System32,Axis15,l_0,revolute,0.01935,7.5E-05,0.067213,-3.1416,0,-1.5708,base_link,-1,0,0,0,0,0,0,,,,,,,,
l_1,1.34170018845081E-18,0.0100976493826253,-0.0227215465332642,0,0,0,0.0171940446900973,2.33586018272412E-06,-2.37584774154065E-22,3.24491505112242E-22,3.36239984843884E-06,5.98339424688533E-07,1.84917878063005E-06,0,0,0,0,0,0,package://hand_m2/meshes/l_1.STL,1,1,1,1,0,0,0,0,0,0,package://hand_m2/meshes/l_1.STL,,Body4-1;Body3-1,Origin_l_1,Axis_l_1,l_1,revolute,0,0,-0.0625,0,0,0,l_0,1,0,0,0,0,0,0,,,,,,,,
r_0,-1.05167610731094E-17,-0.0475872512707244,0.00275327699688915,0,0,0,0.0431334338592739,3.60867268331495E-05,-1.63790357028475E-20,1.99489286510396E-21,3.07251377814637E-06,9.19374856983616E-07,3.75923298614849E-05,0,0,0,0,0,0,package://hand_m2/meshes/r_0.STL,1,1,1,1,0,0,0,0,0,0,package://hand_m2/meshes/r_0.STL,,thumb1-1,Origin_r_0,,r_0,fixed,-0.023575,-0.000225,0.057863,-1.5708,0,-1.5708,base_link,0,0,0,,,,,,,,,,,,
