Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.00242451004932212,0.00648612662714031,-0.0659697082742633,0,0,0,0.0282948998273711,3.8131421625699E-06,2.13319540219769E-21,5.74868793046512E-14,4.99127205065405E-06,-8.5343497611391E-22,2.54826021254666E-06,0,0,0,0,0,0,package://hand_f3/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://hand_f3/meshes/base_link.STL,,a1_part1-1;d1-1;d1-2;a4-1;Body1-2;Body3-2;Body1-1;Body3-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
l_0,-0.0158749999890442,0.00775687408846691,-0.0255298500015736,0,0,0,0.0177441593289259,2.9727640243541E-06,-1.61308653137004E-14,-5.26758623698131E-15,4.45176359830134E-06,5.37651600490329E-07,1.92278360297967E-06,0,0,0,0,0,0,package://hand_f3/meshes/l_0.STL,1,1,1,1,0,0,0,0,0,0,package://hand_f3/meshes/l_0.STL,,Body10-1;Body7-1;Body9-1;Body5-1,Origin_l_0,Axis_l_0,l_0,revolute,0.035949,0.050095,0.017336,1.5708,0,-1.5708,base_link,1,0,0,0,0,0,0,,,,,,,,
l_1,-0.0158749999420901,0.0292604468415955,-0.00963078262546309,0,0,0,0.0264221898596264,5.41801569819634E-06,-8.16965302413243E-15,-7.52757913997099E-15,3.23431574657872E-06,1.34789481254355E-06,6.66849053703843E-06,0,0,0,0,0,0,package://hand_f3/meshes/l_1.STL,1,1,1,1,0,0,0,0,0,0,package://hand_f3/meshes/l_1.STL,,Body8-1;Body11-1,Origin_l_1,Axis_l_1,l_1,revolute,0,0.015839,-0.050979,0,0,0,l_0,1,0,0,0,0,0,0,,,,,,,,
r_0,0.0158750000109557,0.00775687408846695,-0.025529849977922,0,0,0,0.0177441593289259,2.97276402435411E-06,-1.6130864978197E-14,-5.26758595879158E-15,4.45176359830135E-06,5.37651600490336E-07,1.92278360297967E-06,0,0,0,0,0,0,package://hand_f3/meshes/r_0.STL,1,1,1,1,0,0,0,0,0,0,package://hand_f3/meshes/r_0.STL,,Body10-2;Body9-2;Body7-2;Body5-2,Origin_r_0,Axis_r_0,r_0,revolute,-0.040798,0.050095,0.017336,1.5708,0,1.5708,base_link,1,0,0,0,0,0,0,,,,,,,,
r_1,0.0158750000070716,0.0292604468415956,-0.00963078251801182,0,0,0,0.0264221898596264,5.41801569819633E-06,-1.05449818026704E-15,-9.26674157421531E-16,3.23431574657871E-06,1.34789481254354E-06,6.66849053703843E-06,0,0,0,0,0,0,package://hand_f3/meshes/r_1.STL,1,1,1,1,0,0,0,0,0,0,package://hand_f3/meshes/r_1.STL,,Body8-2;Body11-2,Origin_r_1,Axis_r_1,r_1,revolute,0,0.015839,-0.050979,0,0,0,r_0,1,0,0,0,0,0,0,,,,,,,,
