Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.0291377290244732,-0.192394976412436,0.0263077902179276,0,0,0,0.342613668306336,0.000133350426683125,-8.01944580867205E-07,-6.18316358504254E-08,0.000165155172633005,-1.57709982817322E-10,0.000277214979072378,0,0,0,0,0,0,package://vf/meshes/base_link.STL,1,1,1,0.85,0,0,0,0,0,0,package://vf/meshes/base_link.STL,,"c1_t42-2;c1_t42-1;a1_p_t42 - base-1;a2_t42_x_series-1;XM,H-430_idler.stp-1/DUMMY_DC12.stp-1;XM,H-430_idler.stp-2/DUMMY_DC12.stp-1;a4_coupling_t42-1;XM,H-430_idler.stp-2/WBH_M2_5X12.stp-7;XM,H-430_idler.stp-2/DC12_A01_SPACER_RING_1.stp-2;XM,H-430_idler.stp-1;XM,H-430_idler.stp-2;b1_o-1;a3_t42_x_series-1;b1_o-2",Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
l_0,-0.018871639600104,-0.0028367731260763,-0.0572390318557387,0,0,0,0.09341227740388,7.07240406397186E-05,6.74432279555105E-07,-5.06585934351E-07,7.15154024636138E-05,4.28747450886779E-06,1.43365933307128E-05,0,0,0,0,0,0,package://vf/meshes/l_0.STL,1,1,1,0.85,0,0,0,0,0,0,package://vf/meshes/l_0.STL,,prox_adapter_torsion_t42_A_v1a-2;Friction_Finger_Front_V5.2a_flip-1;Push_Through_Elastic_V3-1;hs85-1,Origin_l_0,Axis_l_0,l_0,revolute,-0.000691483988694652,-0.173415607143688,0.0693602804206312,1.76331230493667,0,1.5707963267949,base_link,1,0,0,0,0,0,0,,,,,,,,
r_0,0.0187867025259345,-0.00283677488638241,-0.0572390290525573,0,0,0,0.0934122704984398,7.07240284560675E-05,-6.50280805041207E-07,5.17292078712207E-07,7.15153899701094E-05,4.28747435903476E-06,1.43365911144622E-05,0,0,0,0,0,0,package://vf/meshes/r_0.STL,1,1,1,0.85,0,0,0,0,0,0,package://vf/meshes/r_0.STL,,prox_adapter_torsion_t42_A_v1a-1;Friction_Finger_Front_V5.2a_servo-1;Push_Through_Elastic_V3-2;hs85-2,Origin_r_0,Axis_r_0,r_0,revolute,0.059008516111143,-0.173415608499693,0.0693602804206311,1.76331230493667,0,-1.57079631500149,base_link,1,0,0,0,0,0,0,,,,,,,,
