Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.000208088156302992,-0.0113152813417986,-0.0285269378889407,0,0,0,0.600568183879393,0.000392627132887999,2.39851650616864E-08,-5.04666783560814E-06,0.000304423127363071,-3.66035788619403E-07,0.000620685398741854,0,0,0,0,0,0,package://o/meshes/base_link.STL,1,1,1,1,0,0,0,0,0,0,package://o/meshes/base_link.STL,,a4_o-1;b1_o-2;93330A483 8-32 L2 standoff-3;92210A197 8-32 L3-4 countersunk-8;93330A483 8-32 L2 standoff-2;dynamixel XM-430-5;dynamixel XM-430-1;b1_o-1;b2_o-1;93330A483 8-32 L2 standoff-1;93330A483 8-32 L2 standoff-4;dynamixel XM-430-3;92210A197 8-32 L3-4 countersunk-5;a3_o-2;92210A197 8-32 L3-4 countersunk-4;92210A197 8-32 L3-4 countersunk-7;92210A197 8-32 L3-4 countersunk-6;b1_o-3;dynamixel XM-430-6;a2_o-1;92210A197 8-32 L3-4 countersunk-2;b3_o-2;91253A110 4-40 L1-2 countersunk-2;c2_left_o-1;93365A120 4-40 insert-6;92210A197 8-32 L3-4 countersunk-1;a1_o-1;93365A120 4-40 insert-8;93365A120 4-40 insert-7;93365A120 4-40 insert-1;93365A120 4-40 insert-4;92210A197 8-32 L3-4 countersunk-3;c2_right_o-1;91253A110 4-40 L1-2 countersunk-1;93365A120 4-40 insert-5;93365A120 4-40 insert-3;b3_o-1;93365A120 4-40 insert-2;d3_o_minimal-1;block_finger_pp_o-3/c1_o-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
l_0,0.00014602410146199,0.00301622219270444,-0.0312884749946977,0,0,0,0.0127359728772038,6.48879444241418E-06,-5.4427065883909E-10,1.34078110616296E-08,6.58827025757639E-06,-1.2508189446148E-07,5.98091648907763E-07,0,0,0,0,0,0,package://o/meshes/l_0.STL,1,1,1,1,0,0,0,0,0,0,package://o/meshes/l_0.STL,,finger_pp_t_A-3,Origin_l_04,Axis_l_04,l_0,revolute,0,-0.04,0.023052,1.5758,0,-3.1416,base_link,1,0,0,0,0,0,0,,,,,,,,
l_1,2.50042628274631E-05,0.00268649799485499,-0.0205753327112483,0,0,0,0.0102265941871959,1.90902957688761E-06,-9.46104079928579E-14,-3.38246272614455E-13,1.92012472821013E-06,1.93426921000731E-07,3.59909663546497E-07,0,0,0,0,0,0,package://o/meshes/l_1.STL,1,1,1,1,0,0,0,0,0,0,package://o/meshes/l_1.STL,,finger_pp_t_B-3,Origin_l_14,Axis_l_14,l_1,revolute,0,0,-0.0625,0,0,0,l_0,1,0,0,0,0,0,0,,,,,,,,
r1_base,9.69346478085775E-12,0.0111713682677283,-0.000117062331333958,0,0,0,0.00950838968910675,1.26520183063412E-06,5.21132953142867E-16,3.06301039759566E-14,1.61983466263706E-06,-3.49419005440345E-09,1.87739677666578E-06,0,0,0,0,0,0,package://o/meshes/r1_base.STL,1,1,1,1,0,0,0,0,0,0,package://o/meshes/r1_base.STL,,block_finger_pp_o-1/c1_o-1,Origin_r1_base4,Axis_r1_base3,r1_base,revolute,0.026,0.030397,0.0013166,1.5708,0,0,base_link,0,1,0,0,0,0,0,,,,,,,,
r1_0,0.000146024101461906,0.00286062752465908,-0.0313030840968546,0,0,0,0.0127359728772038,6.48879444241417E-06,-4.7760411253862E-10,1.34103513125534E-08,6.58687846485207E-06,-1.54856805597865E-07,5.99483441632079E-07,0,0,0,0,0,0,package://o/meshes/r1_0.STL,1,1,1,1,0,0,0,0,0,0,package://o/meshes/r1_0.STL,,finger_pp_t_A-2,Origin_r1_base,Axis_r1_0,r1_0,revolute,0,0.021386,0,0,0,0,r1_base,1,0,0,0,0,0,0,,,,,,,,
r1_1,2.5004246092121E-05,0.00268649792021278,-0.0205753324187053,0,0,0,0.0102265945315243,1.90902959224057E-06,-9.50813864916411E-14,-3.37447300401168E-13,1.92012474131907E-06,1.93426921902014E-07,3.59909665777183E-07,0,0,0,0,0,0,package://o/meshes/r1_1.STL,1,1,1,1,0,0,0,0,0,0,package://o/meshes/r1_1.STL,,finger_pp_t_B-2,Origin_r1_14,Axis_r1_14,r1_1,revolute,0,-0.00031073,-0.062499,-0.0049717,0,0,r1_0,1,0,0,0,0,0,0,,,,,,,,
r2_base,9.6934682503047E-12,0.0111713682677283,-0.000117062331333948,0,0,0,0.00950838968910676,1.26520183063412E-06,5.21132946181347E-16,3.06301042013997E-14,1.61983466263706E-06,-3.49419005440351E-09,1.87739677666578E-06,0,0,0,0,0,0,package://o/meshes/r2_base.STL,1,1,1,1,0,0,0,0,0,0,package://o/meshes/r2_base.STL,,block_finger_pp_o-2/c1_o-1,Origin_r2_base4,Axis_r2_base3,r2_base,revolute,-0.026,0.030397,0.0013166,1.5708,0,0,base_link,0,1,0,0,0,0,0,,,,,,,,
r2_0,-3.975898537973E-06,0.00286062752465906,-0.0313030840968546,0,0,0,0.0127359728772038,6.48879444241417E-06,-4.77604112538539E-10,1.34103513125537E-08,6.58687846485207E-06,-1.54856805597866E-07,5.99483441632079E-07,0,0,0,0,0,0,package://o/meshes/r2_0.STL,1,1,1,1,0,0,0,0,0,0,package://o/meshes/r2_0.STL,,finger_pp_t_A-1,Origin_r2_base,Axis_r2_0,r2_0,revolute,0,0.021386,0,0,0,0,r2_base,1,0,0,0,0,0,0,,,,,,,,
r2_1,4.2460921896581E-09,0.00268649792021268,-0.0205753324187053,0,0,0,0.0102265945315243,1.90902959224057E-06,-9.5081386432685E-14,-3.37447301274811E-13,1.92012474131907E-06,1.93426921902012E-07,3.59909665777182E-07,0,0,0,0,0,0,package://o/meshes/r2_1.STL,1,1,1,1,0,0,0,0,0,0,package://o/meshes/r2_1.STL,,finger_pp_t_B-1,Origin_r2_14,Axis_r1_14,r2_1,revolute,-0.000325,-0.00031073,-0.062499,-0.0049717,0,0,r2_0,1,0,0,0,0,0,0,,,,,,,,
