Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.0449250426589663,0.09275236347722,0.0999940250530574,0,0,0,0.0587386661476619,1.30108830109E-05,-1.24513843246382E-19,-3.83620660524768E-06,7.49186913129099E-05,-1.38278128639265E-19,7.73182963160046E-05,0,0,0,0,0,0,package://adaptiveelectric/meshes/base_link.STL,1,1,1,0.85,0,0,0,0,0,0,package://adaptiveelectric/meshes/base_link.STL,,Gripper_body.STEP-1/Gripper_body.IGS.STEP-1/Gripper_body117.IGS.STEP-1;Gripper_body.STEP-1/Gripper_body.IGS.STEP-1/Gripper_body148.IGS.STEP-1;Gripper_body.STEP-1/Gripper_body.IGS.STEP-1/Gripper_body203.IGS.STEP-1;Gripper_body.STEP-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
l_0,0.0178487025881449,0.0410373256860529,0.0565824673783226,0,0,0,0.029369333073831,8.21116101850702E-06,4.60843047610723E-07,6.33980118386531E-07,7.38139543304804E-06,-9.94377631157612E-07,3.6200481057404E-06,0,0,0,0,0,0,package://adaptiveelectric/meshes/l_0.STL,1,1,1,0.85,0,0,0,0,0,0,package://adaptiveelectric/meshes/l_0.STL,,solid_jaws_pinch.step-2;JAW.step-2,Origin_l_0,Axis_l_0,l_0,prismatic,0.019587,-0.14434,0.1106,0,1.5708,0,base_link,0,0,1,0,0,0,0,,,,,,,,
r_0,0.0178487025881449,0.0410373256860531,-0.018755680721784,0,0,0,0.0293693330738309,8.21116101850712E-06,4.6084304761072E-07,6.33980118386532E-07,7.38139543304815E-06,-9.94377631157589E-07,3.62004810574038E-06,0,0,0,0,0,0,package://adaptiveelectric/meshes/r_0.STL,1,1,1,0.85,0,0,0,0,0,0,package://adaptiveelectric/meshes/r_0.STL,,solid_jaws_pinch.step-1;JAW.step-1,Origin_r_0,Axis_r_0,r_0,prismatic,-0.005075,-0.055646,0.1106,3.1416,1.5708,0,base_link,0,0,1,0,0,0,0,,,,,,,,
