Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.0217648691728331,-0.00824232674128799,-0.010155307796504,0,0,0,0.302424348076904,8.75816437900381E-05,-3.54870831415539E-06,3.3278123486823E-06,0.000149034547586271,5.4809121976257E-06,0.000158130905640042,0,0,0,0,0,0,package://simple3/meshes/base_link.STL,1,1,1,0.85,0,0,0,0,0,0,package://simple3/meshes/base_link.STL,,clamp+motor+gear-1;Bearing+Cap-2;Clamp+Drive+Gear-1;motor1-2;motor1-1;SimpleGripper+v4-1;Clamp+Key-1;Motor+Housing-1;Clamp+Housing-1;Wrist+Mount-1;Wrist+Outside+Gear-1;Wrist+Drive+Gear-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
l_0,-0.0139773549914348,-0.0166454616266373,-0.160106504370432,0,0,0,0.0127175448751228,2.08709301268738E-06,9.9021945173938E-08,-4.79455622614048E-07,2.25017947199794E-06,5.49429900072558E-07,2.69882276458136E-06,0,0,0,0,0,0,package://simple3/meshes/l_0.STL,1,1,1,0.85,0,0,0,0,0,0,package://simple3/meshes/l_0.STL,,Rack+and+Clamps-2,Origin_l_0,Axis_l_0,l_0,prismatic,0.016158,-0.020339,0.1471,0,0,0,base_link,1,0,0,0,0,0,0,,,,,,,,
r_0,0.0290726433571439,-0.0166454616266373,-0.160106504370432,0,0,0,0.0127175448751228,2.08709301268739E-06,9.90219451739371E-08,-4.79455622614046E-07,2.25017947199795E-06,5.49429900072556E-07,2.69882276458137E-06,0,0,0,0,0,0,package://simple3/meshes/r_0.STL,1,1,1,0.85,0,0,0,0,0,0,package://simple3/meshes/r_0.STL,,Rack+and+Clamps-1,Origin_r_0,Axis_r_0,r_0,prismatic,-0.015303,-0.020339,-0.16184,-3.1416,0,3.1416,base_link,1,0,0,0,0,0,0,,,,,,,,
