Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.034366,0.07913,0.10227,0,0,0,0.5466,0.00019731,-9.8174E-06,-2.5976E-07,0.00087623,1.4998E-07,0.00094338,0,0,0,0,0,0,package://argripper/meshes/base_link.STL,1,1,1,0.85,0,0,0,0,0,0,package://argripper/meshes/base_link.STL,,base-right-1;gear-1;adapter_2-1;base-left-1;top-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
l_0,-0.05565,0.034191,0.0032778,0,0,0,0.060223,3.8896E-05,2.2985E-07,6.1255E-07,1.4346E-05,-2.4221E-06,3.8371E-05,0,0,0,0,0,0,package://argripper/meshes/l_0.STL,1,1,1,0.85,0,0,0,0,0,0,package://argripper/meshes/l_0.STL,,slider-2;finger-2,Origin_l_02,Axis_l_02,l_0,prismatic,0.03373,-0.11053,0.11413,1.5708,0,3.1416,base_link,1,0,0,0,0,0,0,,,,,,,,
r_0,-0.01192,0.034191,0.0032778,0,0,0,0.060223,3.8896E-05,2.2985E-07,6.1255E-07,1.4346E-05,-2.4221E-06,3.8371E-05,0,0,0,0,0,0,package://argripper/meshes/r_0.STL,1,1,1,0.85,0,0,0,0,0,0,package://argripper/meshes/r_0.STL,,slider-3;finger-3,Origin_r_02,Axis_r_02,r_0,prismatic,0,-0.093877,0.11413,1.5708,0,0,base_link,1,0,0,0,0,0,0,,,,,,,,
